type,street,city,state,zip_code,beds,total_baths,sqft,year_built,sold_price,sold_date,county,stories,parking_garage
SINGLE_FAMILY,351 Abbay Way,Sparks,NV,89431,3,2,1333,1971,439000,6/28/2024,Washoe,1,2
SINGLE_FAMILY,3228 Rose Vista Dr,Reno,NV,89502,3,2.5,1456,1994,528000,6/28/2024,Washoe,2,2
TOWNHOMES,2420 Rock Hill Cir,Reno,NV,89519,3,2.5,2923,1989,835000,6/28/2024,Washoe,2,2
CONDOS,10805 Farmstead Ln,Reno,NV,89521,2,2,1218,2024,431350,6/28/2024,Washoe,0,0
SINGLE_FAMILY,2518 Emblem St,Sparks,NV,89436,3,2,1801,2007,535000,6/28/2024,Washoe,1,2
SINGLE_FAMILY,5440 Goldenrod Dr,Reno,NV,89511,4,3,2778,1985,1300000,6/28/2024,Washoe,1,3
SINGLE_FAMILY,9737 Pachuca Dr,Reno,NV,89521,4,3,1877,2017,652000,6/28/2024,Washoe,1,2
CONDOS,100 N Arlington Ave,Reno,NV,89501,1,1.5,1144,1966,480000,6/28/2024,Washoe,1,0
SINGLE_FAMILY,6190 Squires Ln,Reno,NV,89519,3,3.5,2725,1992,950000,6/28/2024,Washoe,2,2
SINGLE_FAMILY,7974 Furnace Creek Dr,Sparks,NV,89436,4,3,2681,2020,640000,6/28/2024,Washoe,2,3
SINGLE_FAMILY,1310 Kings Row,Reno,NV,89503,3,2,1305,1964,475000,6/28/2024,Washoe,1,2
SINGLE_FAMILY,18268 Cody Ct,Reno,NV,89508,3,2,1040,2007,390000,6/28/2024,Washoe,1,2
MULTI_FAMILY,207 Martin St,Reno,NV,89509,3,2,1359,1926,690000,6/28/2024,Washoe,1,0
SINGLE_FAMILY,10030 Aniane St,Reno,NV,89521,3,2,2234,2003,635000,6/28/2024,Washoe,1,3
SINGLE_FAMILY,342 Double Spring Dr,Reno,NV,89506,3,2,1442,2020,450000,6/28/2024,Washoe,1,2
MULTI_FAMILY,737 10th St,Sparks,NV,89431,3,3,1810,1921,570000,6/28/2024,Washoe,1,0
SINGLE_FAMILY,10040 Cascade Falls Dr,Reno,NV,89521,4,2.5,2261,2004,749000,6/28/2024,Washoe,2,3
SINGLE_FAMILY,9170 Kenton Trl,Reno,NV,89523,3,2,2472,2016,880000,6/28/2024,Washoe,1,3
SINGLE_FAMILY,1690 Corleone Dr,Sparks,NV,89434,2,2,2256,2002,630000,8/19/2024,Washoe,1,2
SINGLE_FAMILY,20555 Fetlock Dr,Reno,NV,89508,4,2.5,2582,2006,725000,8/16/2024,Washoe,1,3
SINGLE_FAMILY,7672 Harvest Moon Dr,Reno,NV,89523,4,2.5,2567,2005,790000,8/22/2024,Washoe,1,3
TOWNHOMES,1225 Cedarhaven Ct,Reno,NV,89523,3,2.5,1310,2024,440540,8/20/2024,Washoe,2,2
CONDOS,91 Vista Rafael Pkwy,Reno,NV,89503,2,2,924,1979,217000,8/19/2024,Washoe,1,0
SINGLE_FAMILY,11168 Freedom Range Ln,Reno,NV,89521,3,2.5,2281,2021,849900,8/21/2024,Washoe,1,3
SINGLE_FAMILY,7676 Apex Pl,Reno,NV,89506,4,3,2075,2024,507860,8/20/2024,Washoe,2,2
SINGLE_FAMILY,155 Puma Dr,Washoe Valley,NV,89704,3,1.5,1350,1972,530000,8/20/2024,Washoe,2,6
SINGLE_FAMILY,1498 Crosswater Dr,Reno,NV,89523,3,2,1263,2001,560100,8/16/2024,Washoe,1,2
CONDOS,3514 Tripp Dr,Reno,NV,89512,4,2.5,1326,1971,255000,8/20/2024,Washoe,2,0
SINGLE_FAMILY,686 Ibis Ln,Reno,NV,89503,3,2,1176,1963,430500,8/21/2024,Washoe,1,2
SINGLE_FAMILY,7415 Little Easy Ct,Sparks,NV,89436,3,2,1660,1997,545000,8/20/2024,Washoe,1,3
SINGLE_FAMILY,4871 Meadow Springs Dr,Reno,NV,89509,4,2,1989,1976,689000,8/22/2024,Washoe,1,3
SINGLE_FAMILY,1210 Fuggles Dr,Sparks,NV,89441,4,2.5,2384,2004,660000,8/16/2024,Washoe,1,3
SINGLE_FAMILY,4800 E Hidden Valley Dr,Reno,NV,89502,3,2,2224,1976,745000,8/21/2024,Washoe,1,2
MULTI_FAMILY,725 Apple St,Reno,NV,89502,5,2,2280,1948,582500,8/20/2024,Washoe,2,0
SINGLE_FAMILY,1855 High Back Ct,Sparks,NV,89436,4,3,2515,1996,650000,8/19/2024,Washoe,1,3
SINGLE_FAMILY,832 Nixon Ave,Reno,NV,89509,4,2,2413,1920,900000,8/16/2024,Washoe,2,2
